word,count
je,25983.2
de,25220.86
est,19417.69
pas,18188.15
la,14946.48
tu,14661.76
le,13652.76
vous,13589.7
ne,13357.03
il,13222.93
et,12909.08
à,12190.4
un,12087.62
ça,8933.66
n',8860.45
les,8720.38
on,8586.4
l',8129.41
une,7907.85
d',7224.74
pour,7078.55
a,6350.91
des,6055.71
en,5689.68
a,5498.34
qui,5344.98
ce,5219.1
mais,5179.05
me,4929.44
ai,4902.1
nous,4772.12
dans,4658.59
elle,4520.53
du,4394.7
y,4346.55
t',4344.23
bien,4213.78
plus,4062.45
non,4040.18
te,4006.1
mon,3848.99
au,3737.75
avec,3704.89
moi,3675.68
en,3536.55
va,3382.55
que,3330.88
est,3318.95
le,3300.74
l',3260.83
oui,3207.35
ils,3075.07
se,2813.77
fait,2751.99
ce,2739.25
faire,2735.96
sur,2520.11
toi,2519.5
sais,2492.92
veux,2486.93
ai,2475.78
s',2418.95
ici,2411.21
rien,2374.91
était,2356.65
ma,2346.9
comme,2326.08
lui,2308.74
dit,2146.01
as,2144.15
si,2107.14
là,2096.53
cette,1902.27
votre,1894.09
es,1849.07
quand,1827.92
suis,1819.44
alors,1777.65
par,1753.02
peux,1743.78
son,1740.43
ton,1723.32
vais,1644.99
très,1589.92
ou,1583.95
dire,1564.52
quoi,1558.22
où,1546.44
sont,1449.03
allez,1414.85
aussi,1402.33
voir,1401.1
fais,1390.92
si,1374.43
tout,1366.45
jamais,1360.22
pourquoi,1348.04
chose,1321.79
faut,1318.11
sa,1276.29
as,1274.31
suis,1272.28
ta,1265.97
les,1240.75
ces,1222.51
peut,1209.64
encore,1176.94
est-ce que,1159.41
avez,1122.37
être,1111.69
mes,1102.23
la,1077.98
toujours,1072.36
ont,1063.32
tout,1058.64
été,1041.22
temps,1031.05
maintenant,1028.86
dis,1025.78
notre,1022.94
vas,1009.22
deux,1009.01
sans,1003.44
êtes,1002.88
vie,986.59
vraiment,968.57
viens,944.81
merci,936.01
comment,922.93
tous,910.39
même,907.69
peut-être,907.68
vu,905.21
crois,904.45
quoi,904.12
fois,899.25
oh,897.52
peu,894.78
dois,894.69
quelque,884.61
père,879.31
s',865.97
trop,859.54
dieu,852.91
chez,842.18
bon,836.29
aux,835.65
monde,823.62
aller,816.76
femme,806.57
sûr,801.64
tout,797.55
homme,781.11
que,770.02
accord,761.77
besoin,758.04
ses,757.68
aime,751.29
parler,728.02
voilà,726.44
être,725.09
ans,718.17
veut,701.19
tes,690.24
vois,689.75
déjà,681.89
TRUE,678.47
avoir,674.24
mère,672.0
suis,668.88
autre,668.48
eu,668.39
avez,661.88
quel,657.71
pourquoi,655.75
doit,654.84
juste,653.49
mieux,651.73
étais,649.35
vos,649.07
jour,635.22
où,630.81
quelqu'un,629.0
fille,627.59
beaucoup,626.0
regarde,613.45
donc,612.51
avait,596.64
gens,594.29
après,593.92
monsieur,583.45
bonne,578.93
comme,577.64
personne,577.6
ah,576.53
petit,573.72
maison,570.3
bonjour,569.88
comment,558.33
nuit,557.56
soir,555.85
un,554.76
voulez,553.4
peur,551.83
parce que,548.52
faites,541.8
es,539.36
maman,537.44
ouais,533.02
avant,529.51
nom,528.17
arrive,525.1
nos,524.63
passe,523.58
bon,521.22
pense,517.64
argent,515.04
quelle,512.55
sont,511.66
allons,500.21
cet,499.91
plaît,499.91
cela,492.56
vite,491.64
appelle,485.77
depuis,483.95
fils,480.15
laisse,479.63
moins,478.75
attends,478.32
sera,478.03
air,473.5
autre,473.33
prendre,465.77
seul,461.2
arrête,456.59
mal,453.95
tête,453.13
choses,451.83
parle,451.68
amour,450.46
enfants,448.33
toute,441.79
tout,440.69
hein,437.2
prends,431.5
jours,426.7
demain,425.85
raison,424.28
savoir,421.1
elles,420.51
connais,415.87
voulais,415.76
heure,415.4
avais,412.04
savez,407.94
assez,407.75
avoir,404.19
moment,403.25
sait,401.46
donne,401.06
avait,395.71
problème,391.2
combien,390.58
coup,389.49
voiture,388.87
partir,388.25
eh,386.0
fait,384.71
ont,381.18
trois,380.8
tant,380.34
merci,378.44
ni,377.64
tous,376.64
pris,374.6
avais,373.32
entre,372.72
mort,372.07
même,369.32
comprends,368.53
travail,367.43
venir,367.13
pu,366.22
dû,363.68
aider,362.77
ami,360.9
aujourd'hui,360.17
toutes,358.34
famille,357.75
petite,355.66
aurais,354.36
pouvez,353.43
vient,352.24
était,350.91
tard,350.38
seule,349.74
