word,freq
the,186224
",",125417
of,108316
and,85202
.,82607
to,71648
in,57423
a,39614
for,30171
),28788
(,28596
that,24191
on,22520
is,20970
with,16381
by,16351
/,16216
be,16018
as,15698
or,12738
:,12070
are,11910
this,11154
it,10134
from,9380
at,9264
;,9173
an,8687
not,8289
&quot;,8224
was,7945
_,7799
which,7397
will,7142
have,7099
its,6906
has,6299
canada,5986
&apos;s,5871
their,5812
all,5581
other,5541
-,5056
also,4803
we,4719
information,4712
international,4637
been,4524
•,4409
development,4391
were,4285
i,4234
1,4190
new,3930
s,3908
united,3885
’,3883
should,3864
more,3835
may,3729
these,3629
committee,3557
would,3552
they,3541
such,3525
states,3524
under,3491
no,3444
health,3430
national,3340
had,3273
report,3241
there,3219
can,3168
one,3147
nations,3144
you,3138
government,3128
any,3126
council,3080
rights,3069
if,3052
services,3037
public,3001
work,2945
%,2877
general,2811
canadian,2805
commission,2785
2,2764
countries,2709
human,2702
but,2679
between,2676
our,2654
support,2639
use,2592
$,2562
who,2525
european,2510
into,2503
including,2486
than,2469
&#91;,2445
&#93;,2383
management,2362
must,2324
through,2314
time,2311
security,2296
those,2291
first,2229
number,2219
only,2207
made,2196
3,2159
system,2159
–,2121
member,2120
service,2118
activities,2104
women,2092
group,2088
social,2086
research,2074
article,2067
policy,2060
shall,2058
some,2058
act,2053
about,2051
when,2046
economic,2035
out,2015
state,2011
people,1997
&gt;,1981
community,1957
within,1946
where,1933
provide,1911
well,1900
he,1895
program,1883
year,1868
your,1867
two,1855
his,1851
law,1825
during,1800
part,1800
years,1771
implementation,1767
following,1755
order,1753
“,1748
most,1728
process,1710
world,1706
resources,1668
over,1665
resolution,1655
?,1650
children,1643
up,1615
”,1615
meeting,1610
members,1605
working,1597
used,1594
&apos;,1591
financial,1586
country,1582
need,1580
issues,1576
each,1575
both,1571
so,1563
4,1563
=,1554
against,1545
provided,1539
project,1537
b,1529
ensure,1526
section,1521
action,1521
them,1517
special,1515
assembly,1513
programme,1512
convention,1504
could,1504
what,1498
c,1493
office,1493
data,1491
measures,1490
training,1489
do,1482
per,1477
however,1468
being,1466
session,1458
regional,1455
level,1449
important,1434
period,1426
access,1425
many,1425
protection,1423
5,1418
paragraph,1416
further,1413
2005,1407
education,1403
available,1401
review,1401
after,1394
make,1388
agreement,1367
take,1361
areas,1353
case,1347
plan,1339
parties,1334
see,1333
decision,1325
board,1323
10,1323
2006,1313
area,1312
business,1298
trade,1296
2004,1293
2003,1272
respect,1272
organizations,1264
particular,1258
right,1258
department,1251
how,1246
very,1243
while,1239
since,1237
environment,1227
environmental,1221
mr.,1221
cooperation,1217
de,1211
—,1208
application,1206
total,1202
conference,1190
related,1186
before,1179
organization,1176
2007,1173
&amp;,1169
court,1166
2000,1158
2001,1155
political,1153
based,1152
party,1149
president,1140
date,1135
legal,1133
required,1130
same,1128
assistance,1119
2002,1116
6,1113
set,1110
draft,1102
products,1101
union,1093
agency,1092
place,1088
d,1086
efforts,1083
us,1079
minister,1076
requirements,1074
possible,1073
federal,1072
because,1057
three,1055
sector,1053
results,1048
high,1047
staff,1044
developing,1042
market,1037
basis,1028
include,1027
specific,1026
taken,1021
among,1019
control,1017
regulations,1016
now,1014
necessary,1014
document,1014
given,1012
role,1011
framework,1007
without,1006
industry,1003
does,997
conditions,994
effective,994
change,987
europe,987
million,984
projects,980
reports,980
groups,978
increase,975
*,969
republic,966
local,963
care,960
7,960
water,957
appropriate,956
relevant,952
proposed,951
december,951
employment,950
institutions,950
assessment,950
future,948
needs,943
like,943
persons,939
region,937
help,937
different,935
held,927
issue,926
risk,924
situation,923
current,920
established,919
provisions,915
whether,912
subject,908
way,906
force,904
systems,899
second,898
june,897
e,896
adopted,893
15,892
programs,886
means,883
form,879
secretary-general,879
continue,876
her,875
view,874
quality,872
key,871
8,869
population,869
accordance,868
address,866
therefore,866
my,865
30,864
safety,863
12,860
centre,855
present,849
technical,846
parliament,842
food,840
1999,840
march,838
rules,836
example,835
approach,833
standards,833
considered,833
costs,830
child,828
site,828
2008,828
mr,826
global,824
cases,822
cent,820
tax,818
impact,817
addition,817
20,816
said,814
major,813
air,812
amount,808
end,807
levels,806
agenda,803
result,802
provides,795
technology,794
using,793
various,793
developed,792
policies,792
person,792
foreign,791
performance,791
regard,789
eu,789
account,787
energy,787
additional,787
terms,785
small,783
strategy,783
property,781
operations,780
funding,778
society,772
budget,772
life,772
did,770
annex,769
list,769
even,768
capacity,768
note,767
communities,762
programmes,762
authorities,761
recommendations,760
own,758
goods,756
production,755
representative,753
day,752
received,748
she,745
11,743
private,740
secretariat,740
then,740
full,739
progress,737
legislation,735
several,734
common,733
fund,733
status,732
family,731
annual,730
authority,729
sustainable,729
value,728
position,728
knowledge,727
affairs,727
item,727
july,725
regulation,724
last,724
existing,716
individual,716
interest,715
justice,715
november,714
good,713
question,712
ontario,711
increased,709
transport,709
documents,709
home,707
product,705
field,704
point,701
table,700
evaluation,699
study,698
fact,696
ii,694
