word,freq
",",149602
de,145251
la,94755
.,93446
et,63864
le,63410
à,55709
les,54716
des,53067
l&apos;,51911
que,46185
en,39791
&apos;,39509
d&apos;,34516
est,30600
nous,30549
une,28471
du,28022
dans,26102
un,25907
qui,25312
pour,24338
il,24031
ce,22981
je,21706
pas,18717
au,18551
sur,16950
a,16931
l,16528
ne,16058
par,14449
commission,12742
qu&apos;,12375
plus,12087
cette,10872
d,10294
mais,9097
aux,9044
sont,8326
-,7689
n&apos;,7671
avec,7630
européenne,7405
être,7273
se,7268
monsieur,7181
ces,7114
union,7018
s&apos;,6891
ont,6700
parlement,6626
président,6557
pays,6363
rapport,6319
on,6297
comme,6221
vous,6119
tout,6094
fait,6000
été,5963
c&apos;,5945
&quot;,5929
si,5739
politique,5616
y,5392
conseil,5223
ou,5146
aussi,5027
elle,4909
j&apos;,4753
notre,4721
bien,4695
également,4672
états,4661
cela,4556
:,4528
membres,4486
question,4367
faire,4333
européen,4279
m.,4123
très,4096
même,4068
avons,4020
tous,4007
doit,3967
son,3892
autres,3805
entre,3801
qu,3778
leur,3762
europe,3700
?,3551
),3514
(,3463
voudrais,3342
droits,3335
ai,3148
peut,3138
donc,3114
ils,3098
faut,3059
dont,3024
non,3024
nos,2920
proposition,2867
soit,2856
matière,2823
encore,2808
/,2797
contre,2781
devons,2736
travail,2714
sans,2651
cas,2642
point,2637
ainsi,2609
développement,2563
hui,2556
deux,2524
me,2515
commissaire,2487
dire,2468
déjà,2407
où,2319
concerne,2312
directive,2308
mon,2299
ses,2278
n,2268
sa,2262
manière,2238
groupe,2237
s,2228
accord,2205
car,2203
pense,2166
débat,2157
suis,2147
cet,2134
autre,2127
situation,2127
sommes,2099
cadre,2091
lors,2086
agit,2078
mesures,2072
droit,2070
sécurité,2069
tant,2040
important,2037
problème,2021
doivent,1991
avoir,1970
état,1966
afin,1960
niveau,1953
leurs,1938
marché,1929
aujourd&apos;,1919
sein,1917
madame,1901
parce,1898
;,1898
citoyens,1881
part,1880
mme,1876
temps,1867
toute,1857
vue,1851
politiques,1849
certains,1834
dit,1834
c,1807
domaine,1783
2000,1730
toutes,1728
sera,1707
pourquoi,1701
collègues,1683
personnes,1674
ici,1670
seulement,1667
questions,1667
homme,1664
elles,1655
savoir,1650
résolution,1642
économique,1624
nombre,1619
fois,1599
avant,1584
moins,1580
amendements,1577
effet,1571
règlement,1569
ue,1567
problèmes,1564
aide,1556
beaucoup,1554
protection,1542
lieu,1534
environnement,1531
système,1527
compte,1527
était,1524
demande,1520
jour,1514
nom,1511
grande,1503
exemple,1498
raison,1495
commune,1491
sujet,1486
ensemble,1475
rapporteur,1466
ceux,1466
partie,1465
programme,1441
propositions,1417
après,1416
députés,1404
mise,1404
présidente,1404
coopération,1402
toujours,1398
vote,1397
mettre,1393
laquelle,1389
processus,1389
gouvernement,1388
uvre,1380
principe,1376
européens,1372
position,1371
cours,1370
concernant,1370
possible,1359
fonds,1359
peu,1356
amendement,1346
contrôle,1340
entreprises,1317
nouvelle,1314
alors,1313
particulier,1306
serait,1306
soient,1304
secteur,1304
présidence,1297
base,1295
%,1293
selon,1293
votre,1275
ordre,1273
notamment,1263
j,1256
pouvoir,1251
prendre,1245
action,1245
avis,1244
années,1242
depuis,1241
communautaire,1235
monde,1235
année,1226
traité,1225
objectif,1216
assemblée,1213
présent,1204
dès,1193
nécessaire,1190
sociale,1186
décision,1182
toutefois,1174
pouvons,1171
façon,1163
devrait,1160
1999,1151
nouveau,1148
enfin,1146
emploi,1143
ans,1143
peuvent,1142
importance,1140
quelques,1138
sens,1137
ailleurs,1135
mesure,1128
place,1121
régions,1120
première,1119
crois,1112
femmes,1111
santé,1110
article,1107
rôle,1093
services,1090
avenir,1078
lui,1073
procédure,1070
là,1064
cependant,1048
chaque,1044
plan,1041
trop,1040
eu,1038
soutien,1035
espère,1034
besoin,1030
m&apos;,1023
juridique,1022
abord,1020
surtout,1018
conditions,1005
points,1003
grand,1003
aucun,993
faveur,988
premier,984
société,983
information,983
législation,979
certaines,978
communauté,977
objectifs,976
produits,974
existe,974
sous,970
projet,970
particulièrement,970
vie,957
ni,954
institutions,953
budget,944
millions,944
gestion,941
ma,939
initiative,938
concurrence,935
mes,934
bon,933
application,932
mois,931
bonne,928
moment,926
lutte,924
région,921
clairement,920
fin,917
qualité,917
trois,916
telle,916
responsabilité,915
nouvelles,905
semble,900
objet,898
terme,892
va,889
vers,886
peut-être,885
chers,884
égard,880
programmes,875
chose,874
seront,874
constitue,874
maintenant,866
avez,864
voulons,863
quant,863
consommateurs,854
attention,854
pourrait,854
conférence,853
plusieurs,853
nombreux,852
!,851
donner,851
ait,848
ressources,846
aucune,846
pêche,845
propos,839
nécessité,837
règles,834
importante,832
celui,832
autorités,824
paix,824
avait,822
affaires,821
respect,821
outre,818
garantir,818
lorsque,813
aura,810
moyens,809
étant,809
moi,805
économie,798
actions,797
recherche,794
voir,794
membre,790
quand,790
réponse,789
élargissement,784
différents,780
face,779
industrie,771
sûr,767
rien,766
européennes,766
enfants,763
projets,763
deuxième,762
souvent,762
intérieur,762
donné,761
intérêt,759
convention,755
tel,745
informations,744
remercier,742
transport,742
collègue,741
dernier,740
assurer,738
décisions,736
reste,735
texte,731
euros,731
quelque,729
lequel,728
sorte,725
occasion,720
groupes,718
prix,713
messieurs,712
demander,710
comment,709
jusqu&apos;,708
choses,707
celle,704
général,702
justice,699
dernière,697
possibilité,696
certain,695
publique,691
création,688
public,688
solution,687
heure,685
domaines,684
utilisation,683
efforts,683
conséquent,681
mis,679
actuellement,678
intérêts,676
période,673
nouveaux,671
euro,670
puisse,669
mesdames,666
communication,663
mieux,660
intervention,659
liberté,657
charte,653
soutenir,652
aujourd,648
fondamentaux,647
autant,644
clair,643
essentiel,643
visant,642
majorité,640
formation,639
entendu,638
voie,634
sommet,634
économiques,633
commerce,632
réforme,632
négociations,632
davantage,631
relations,630
résultats,629
nécessaires,628
font,628
accès,628
aides,626
suite,626
améliorer,626
pris,624
démocratie,624
souhaite,622
pu,621
efficace,619
jeunes,618
compris,618
population,614
vraiment,613
accords,613
principes,612
tiens,609
raisons,609
créer,608
actuelle,608
long,608
souligner,608
appelle,605
nombreuses,605
devant,605
parti,604
social,603
simplement,600
dispositions,595
peux,593
termes,593
tiers,591
progrès,590
adhésion,589
eau,587
nations,586
budgétaire,586
propre,586
travailleurs,585
juste,584
demain,583
type,583
états-unis,582
rapidement,579
estime,578
défense,578
rapports,576
éviter,575
trouve,571
idée,570
service,568
activités,568
convient,566
risque,566
normes,565
nationaux,564
parler,562
dialogue,562
extrêmement,560
gouvernements,559
exercice,558
différentes,558
titre,556
données,555
évaluation,554
nationales,553
permettre,551
devraient,551
vu,548
aurait,547
énergie,546
remercie,545
conséquences,545
croissance,544
rendre,544
accepter,544
difficile,543
cause,543
unique,543
approche,541
internationale,540
relative,539
doute,537
répondre,536
forme,535
preuve,534
cour,534
transports,533
rappeler,532
réalité,531
communautaires,530
lorsqu&apos;,530
certainement,530
plutôt,529
stratégie,529
financement,528
évolution,526
argent,526
importants,526
déchets,525
organisation,525
quelle,524
déclaration,523
procédures,522
jamais,522
voté,521
trouver,521
kosovo,521
ensuite,519
contraire,519
savons,519
seul,518
malheureusement,515
passé,515
féliciter,514
turquie,514
production,514
origine,513
personne,511
candidats,509
prises,509
veut,508
devrions,505
volonté,504
renforcer,503
1998,503
culture,503
agriculture,502
étaient,500
confiance,499
victimes,498
intégration,498
ceci,497
telles,496
organisations,495
tels,495
veux,493
engagement,492
transparence,490
dernières,490
afrique,490
présente,490
systèmes,489
seule,489
contexte,489
pendant,487
parties,486
néanmoins,486
meilleure,484
tenir,484
guerre,483
pourra,482
grâce,482
personnel,481
député,478
quoi,478
valeurs,477
propose,477
stabilité,476
vigueur,476
aspects,475
eux,474
uniquement,474
prise,473
permettez-moi,472
évidemment,471
coordination,471
présenter,471
démocratique,470
quel,470
augmentation,467
international,466
libre,465
précisément,465
absolument,465
est-à-dire,463
comité,461
grandes,461
risques,461
marchés,461
an,460
ministre,460
vrai,460
2,460
espace,459
taux,459
discussion,459
régime,458
intention,457
véritable,457
nature,457
assez,457
dois,456
emplois,456
lisbonne,455
document,454
libéralisation,454
secteurs,453
séance,452
adoption,452
réellement,451
adopter,450
esprit,450
deuxièmement,448
présenté,448
asile,446
manque,444
pratique,444
signifie,443
efficacité,443
mondiale,442
heures,441
exprimer,441
centrale,440
compromis,438
générale,437
moyen,436
opinion,436
éducation,435
parmi,435
vient,434
zones,432
pensons,432
unies,431
réglementation,431
référence,431
financiers,431
chacun,430
rapide,430
représente,430
celles,429
traités,428
agir,427
éléments,426
obtenir,426
grands,425
large,424
coûts,423
parole,423
considération,423
possibilités,422
lecture,421
pourtant,421
réduction,421
commun,421
caractère,420
autriche,420
importantes,419
participation,419
demandé,418
fort,417
lesquels,416
merci,415
difficultés,414
affaire,413
portugaise,412
devra,412
quatre,412
sociaux,411
effectivement,411
intergouvernementale,410
égalité,408
voilà,407
trafic,407
alimentaire,407
apporter,407
conformément,407
voter,406
ayant,406
priorité,404
hier,404
amélioration,404
instrument,404
critères,403
réfugiés,403
loin,402
atteindre,402
premièrement,401
réduire,400
produit,400
activité,400
puissent,400
utiliser,400
parvenir,399
établir,398
dû,398
1,397
cinq,397
travaux,397
traitement,397
dépenses,395
veiller,395
élément,394
biais,394
résultat,393
collaboration,392
aller,391
5,390
structurels,390
vont,389
initiatives,389
hommes,387
paragraphe,386
révision,386
but,385
durable,385
relatives,383
financière,383
proposé,383
adopté,383
propres,382
financières,382
malgré,382
directives,382
3,382
permettant,380
totalement,379
constater,379
priorités,378
tenu,378
agriculteurs,377
française,376
france,376
troisième,376
partage,375
naturellement,375
sud,374
développer,373
urgence,373
effets,372
haut,372
début,371
simple,371
force,370
exigences,370
succès,369
sait,369
contribution,368
appliquer,367
sais,366
semaine,366
4,366
constituent,366
fonctionnement,365
vos,364
000,364
puisque,363
contenu,362
grave,362
instruments,361
tabac,361
quelles,361
agricole,360
ministres,359
parfois,359
territoire,358
côté,357
entreprise,357
frontières,356
sanctions,356
technique,356
attitude,355
partir,355
conclusions,355
devoir,354
modèle,354
félicite,354
parlementaire,353
civile,353
aider,353
sport,352
producteurs,352
lignes,352
indispensable,352
certes,352
commencer,352
porte,352
continuer,352
longtemps,351
protéger,350
gens,350
­,349
peuple,349
comptes,349
décharge,349
poursuivre,349
sociales,349
travailler,348
réunion,348
cohésion,347
zone,346
racisme,346
lesquelles,346
décidé,345
passer,344
connaissance,344
représentants,343
au-delà,343
série,342
or,342
circulation,341
responsable,341
banque,341
discrimination,341
compétences,340
claire,339
procéder,339
grèce,339
évident,339
prévention,338
internet,338
venir,337
près,336
financier,335
promouvoir,335
capacité,335
