word,freq
',16439
",",15208
de,14882
.,10256
la,9581
##s,6935
l,6659
et,6533
le,6190
à,5523
les,5467
des,5148
que,4717
d,4473
en,4182
nous,3404
est,3135
une,2921
du,2708
un,2701
pour,2643
dans,2539
-,2524
ce,2518
qui,2508
il,2503
je,2351
##e,2322
##r,2136
au,1972
pas,1883
sur,1759
a,1756
qu,1678
par,1612
ne,1603
commission,1541
##ment,1396
c,1253
plus,1234
dé,1153
r,1119
cette,1112
s,1067
mon,1023
n,1014
##é,994
mais,942
con,942
vous,891
aux,859
##ur,836
être,826
##sie,820
##nt,794
sont,790
parlement,779
vo,771
re,741
européenne,736
rapport,732
avec,728
ces,728
m,708
se,699
union,693
##es,680
pro,670
ont,669
on,666
tout,648
politique,647
comme,645
j,638
si,627
président,625
fait,622
elle,610
##is,605
été,597
ou,594
y,558
euro,557
app,551
##er,549
é,524
ex,518
pré,507
bien,504
aussi,503
##z,498
cela,493
##pe,489
même,487
états,480
##dam,476
##ons,470
également,470
faire,459
in,456
##udra,446
conseil,443
européen,441
notre,441
pays,440
##von,439
entre,439
:,436
##ns,433
question,431
peut,431
"""",426
avons,423
doit,422
am,419
ma,414
son,397
##és,392
très,389
inter,385
membres,384
proposition,382
?,382
##ement,380
com,380
tous,359
leur,355
donc,351
ai,351
él,346
autres,340
u,340
programme,338
nos,332
faut,329
non,329
##té,328
commissaire,328
),322
mes,322
dont,317
dire,316
(,313
accord,308
##è,308
##ux,305
coll,305
##ra,304
aide,304
matière,303
me,301
##ée,297
##ité,295
développement,295
point,293
##tion,290
régions,289
soit,288
##urs,288
concerne,285
débat,279
##égi,278
manière,278
direct,277
sou,277
encore,277
co,277
état,276
##ère,275
sans,273
##re,268
##t,268
ils,267
sécurité,265
travail,260
##ation,260
contrôle,259
im,259
##ende,257
contre,255
aujourd,255
hui,255
marché,252
car,250
sa,246
sein,245
présidente,242
deux,239
déjà,239
ainsi,238
ses,238
communautaire,237
##ent,236
emploi,235
traité,235
concurrence,235
ins,234
ren,233
##ble,233
cet,233
groupe,233
pense,232
gouvernement,232
##ments,231
##cé,231
##ive,230
clair,229
vue,228
##c,228
cas,228
économique,228
somme,226
##hé,226
##tre,226
##pé,226
où,225
cadre,224
##x,223
décision,222
##éc,221
##ées,219
fonds,219
citoyens,219
/,218
##ire,218
##eur,218
ci,216
sera,216
part,215
niveau,214
suis,213
##gues,213
##it,211
doivent,211
su,210
lors,208
##ré,207
environnement,206
dis,205
avoir,203
jour,203
autre,202
elles,201
trans,201
initiative,200
réforme,199
##vre,198
responsabilité,198
toute,195
peu,195
##i,194
##sid,193
tant,192
afin,191
principe,191
parce,191
politiques,190
mesures,190
agit,190
compte,190
important,189
##f,188
demande,188
mm,188
##te,187
né,187
int,186
aut,186
1999,186
toutes,186
##ter,185
savoir,185
##nce,185
es,183
soul,183
##ant,182
##roi,181
certains,181
##ar,178
droit,178
dit,178
##ég,177
##mer,177
;,175
abord,175
seulement,175
entreprises,174
ceux,174
##sement,174
ordre,173
programmes,172
##qui,172
sujet,171
leurs,171
##sla,171
##ésolution,171
pourquoi,171
##sion,170
temps,170
##ge,169
problèmes,168
ac,168
secteur,168
avant,168
che,167
mise,167
fois,167
questions,166
grande,166
domaine,165
objectif,164
moi,164
situation,164
##di,164
cours,163
moins,163
raison,162
év,161
pou,161
t,161
##a,160
première,159
##rons,158
effet,158
structure,157
##p,157
serait,157
institutions,156
droits,156
sous,154
ensemble,153
ici,153
processus,152
après,152
2000,152
mettre,152
##rs,151
problème,151
juridique,151
position,150
##ale,149
fa,149
système,149
##ne,149
##ions,149
pé,148
##com,148
projets,148
justice,148
nombre,147
##le,147
toujours,147
conférence,146
nouvelle,146
présidence,146
coopération,144
cont,143
exemple,143
était,142
nouveau,142
particulier,141
objectifs,141
##bles,141
##menta,141
financier,140
beaucoup,140
soient,140
##gis,139
##cha,139
lieu,139
att,138
partie,138
avis,138
possible,137
importance,137
enfin,136
notamment,136
besoin,136
ave,135
fonction,135
##pli,135
présent,134
monde,134
soutien,134
sociale,134
commune,134
##lement,132
cependant,132
##né,132
nécessaire,132
##gou,131
projet,131
là,131
##con,131
années,131
rap,131
exige,131
##ici,130
quelques,130
place,130
toutefois,130
##l,129
##lé,129
laquelle,128
##que,127
##érer,127
application,127
possibilité,127
députés,127
intérieur,126
rôle,126
deuxième,124
concernant,124
lui,124
essentiel,124
article,124
mesure,123
services,123
action,123
prendre,123
économie,123
##se,122
nom,122
##eurs,122
##n,121
avenir,121
##ûr,121
devrait,121
ad,121
##d,121
##clu,121
enten,120
pouvoir,120
alors,120
règle,119
trop,119
plan,119
br,118
%,117
base,117
européens,117
dès,117
zones,116
région,116
##ci,116
leader,116
personnes,116
sub,115
ali,115
telle,115
##rou,115
constitue,115
##reg,114
##vra,114
protection,114
liberté,113
puisse,113
##go,113
sens,113
réel,113
##ls,113
##ffi,113
vote,112
##gard,112
évi,111
##ie,111
aucun,111
##ép,111
ind,110
faveur,110
##mis,110
heure,110
européennes,109
efficace,109
points,109
eu,109
certaine,109
##li,109
##rer,109
depuis,109
peuvent,108
prior,108
##vern,108
semble,108
##5,107
##ération,107
orientation,107
##voir,107
##ient,106
##riche,106
##igne,106
culture,106
assemblée,106
fél,106
##ulo,105
respect,105
mois,105
celle,105
##ére,105
selon,105
##mo,104
ressources,104
moment,104
af,104
ailleurs,104
consta,103
chaque,103
##sation,103
cat,103
particulièrement,103
financière,102
va,102
trois,102
surtout,102
femmes,102
##cier,102
ab,102
ef,101
fin,101
attend,101
donner,101
veu,100
garantir,100
##sons,100
##ver,100
quelle,100
souhaite,99
année,99
jusqu,99
celui,99
danger,99
lutte,99
ag,99
mal,98
bonne,98
sorte,98
série,97
commun,97
##g,97
comment,97
pourrait,97
aura,97
##der,97
terme,97
premier,97
disposition,97
##ast,96
ass,96
##ribue,96
importante,95
##pare,95
##rophe,95
millions,95
tien,95
parti,95
rien,95
quand,94
##euse,94
én,94
chose,94
bon,94
##ait,94
##ations,93
seront,93
##gé,93
dél,93
ait,93
règles,92
##cla,92
av,92
coût,92
aucune,92
propos,92
##ue,91
nouvelles,91
vis,91
grand,91
ch,91
juste,91
##ét,91
autorité,91
ko,90
outre,90
##u,90
présenter,90
communauté,90
énergie,90
affaires,90
##ort,90
tel,90
sé,90
maintenant,90
quant,90
##én,90
##ément,90
quel,89
autorités,89
vers,89
##cratie,89
existe,89
création,89
##rich,89
ni,89
ir,88
avait,88
groupes,88
déclaration,88
démocratique,88
##ront,88
##ca,88
##vr,88
membre,87
passé,87
vie,87
##dure,86
actions,86
estime,86
paix,86
##éri,86
conditions,86
façon,86
!,85
livre,85
##at,85
rural,85
##ont,85
##fa,85
face,85
plusieurs,85
difficile,84
##pro,84
certaines,84
période,84
portugais,84
gestion,84
##gue,84
pre,84
permet,84
tax,83
intervention,83
construct,83
voir,83
doute,83
##ner,83
##ten,83
##tons,83
##ique,82
initiatives,82
demand,82
bé,82
fonda,82
demander,82
créer,81
##cité,81
davantage,81
##éta,81
véhicules,81
lequel,81
espace,81
##nais,81
##ir,81
uni,81
vraiment,81
##naires,80
étant,80
##ères,80
stratégie,80
res,80
assurer,80
voi,80
donné,79
domaines,79
##ô,79
continue,79
pa,79
parte,79
mis,78
##mé,78
proposé,78
différents,78
##nces,78
##ance,78
idée,78
dernier,78
##visa,78
##rait,77
attention,77
gara,77
##tions,77
propose,77
##venu,77
cour,76
souvent,76
h,76
nouveaux,76
sp,76
##alu,76
ob,76
##cie,76
voie,75
para,75
##ct,75
réponse,75
efforts,75
##fica,75
##du,75
lorsque,75
dispose,75
conséquent,74
veille,74
social,74
transports,74
comité,74
##hai,74
##mage,74
ra,74
lorsqu,74
finance,74
##able,73
député,73
régionale,73
communication,73
adopté,73
##ion,73
##if,73
##pp,73
ans,73
franc,73
automobile,73
##égration,72
blanc,72
actuelle,72
nationaux,72
##rai,72
nationales,72
nécessité,72
##on,72
manque,72
forme,71
intérêt,71
choses,71
em,71
##tes,71
discu,71
confiance,71
##fier,71
##bli,71
##tés,71
urban,71
is,71
pu,70
dernière,70
cinq,70
valeurs,70
résultats,70
formation,70
##ro,70
engagement,70
qualité,70
ret,70
occasion,70
2,70
vos,70
##pri,69
intérêts,69
o,69
##na,69
sai,69
per,69
##pre,69
##ign,69
##cou,69
##prime,69
##non,69
rev,69
transport,69
##ou,69
rapidement,69
lignes,69
pris,69
devant,68
fi,68
utilisation,68
adopt,68
contraire,68
##vient,68
##ve,68
touch,68
accept,68
##som,68
économiques,68
éviter,67
sy,67
1,67
di,67
effective,67
mieux,67
str,67
sat,67
objet,67
amb,67
document,67
général,67
conclusion,67
homme,67
large,66
##aux,66
##les,66
moyens,66
##o,66
tenir,66
participation,65
ur,65
preuve,65
budget,65
soutenir,65
visant,65
##sol,65
voitures,65
suite,65
opp,65
industrie,65
##lique,65
autant,65
##cy,65
##sse,64
##issant,64
aur,64
actuellement,64
principes,64
partage,64
public,63
nombreuses,63
##marque,63
lo,63
permette,63
##élio,63
signifie,63
##ciations,63
##peler,63
contra,63
améliorer,63
##heur,62
modi,62
##mate,62
##jou,62
instrument,62
to,62
quelque,62
appelle,62
fort,62
##bilité,62
bu,62
moyen,62
fai,62
accepte,62
seul,62
pose,62
esprit,62
majorité,62
##gence,61
##ser,61
vont,61
présenté,61
##âche,61
an,61
##venir,61
##ques,61
##isant,61
générale,61
propre,61
##ution,61
reste,61
rendre,61
##amine,61
encourage,61
type,60
##rices,60
##rète,60
quoi,60
unique,60
##isation,60
##sov,60
##tra,60
##forcer,60
dem,60
##sent,60
##ési,60
g,60
déli,59
vrai,59
importants,59
main,59
##ssant,59
informations,59
nombreux,59
##ses,59
pen,59
euros,59
##fini,59
société,59
raisons,59
agir,58
##ine,58
présente,58
normes,58
##dent,58
ina,58
véritable,58
##ités,58
##ais,58
##rais,58
mêmes,58
##ain,58
##ch,57
equal,57
compris,57
risque,57
##ires,57
analyse,57
##ce,57
puis,57
font,57
frontières,57
solid,57
##dra,57
extrêmement,57
signal,57
##dé,57
##char,56
porte,56
##cent,56
##ué,56
##eux,56
##ai,56
atteint,56
parler,56
seule,56
volonté,56
plutôt,56
aurait,56
début,56
contenu,56
veut,55
quatre,55
égalité,55
vu,55
troisième,55
évolution,55
limite,55
marcha,55
##tro,55
##teurs,55
##vien,55
information,55
##qué,55
conform,55
##ciliation,55
long,55
rep,55
##op,55
eux,55
prêt,54
##ri,54
libre,54
##ndi,54
prend,54
durable,54
##ster,54
trouver,54
##vesti,54
exercice,54
##oc,54
publique,54
vol,53
##ives,53
prises,53
activités,53
tenu,53
##cup,53
##ration,53
élément,53
travailleurs,53
concern,53
asi,53
mention,53
##vé,53
simplement,53
##rie,53
##colo,53
jamais,53
charge,53
examen,53
nécessaires,53
titre,53
termes,53
accès,52
population,52
##titi,52
allo,52
autori,52
##pensa,52
##use,52
risques,52
sujets,52
nations,52
##ts,52
ayant,52
just,52
ensuite,52
prise,52
##gique,52
tiers,52
prévu,52
telles,51
dimension,51
fonctionnement,51
étaient,51
assez,51
représentants,51
##euses,51
##ien,51
résultat,51
code,51
##ex,51
fl,51
discrimination,50
grave,50
##vention,50
voter,50
moyenne,50
pau,50
certain,50
##diction,50
grands,50
réalité,50
petites,50
##rib,50
vigueur,50
##oy,50
discussion,50
locales,50
régionales,50
##sort,50
judiciaire,50
##gi,50
permettre,50
répondre,50
juge,50
commence,50
puisque,50
ent,50
##mand,50
adoption,49
argent,49
sociaux,49
traite,49
éléments,49
fondamentale,49
##ction,49
approche,49
##rip,49
trouve,49
administration,49
crise,49
appel,49
grandes,49
impose,49
bureau,49
##ari,49
cit,49
mer,49
recherche,49
faible,49
##ler,49
différentes,48
van,48
parmi,48
engagé,48
##ître,48
##graphe,48
aider,48
territoire,48
##fronta,48
développer,48
##cis,48
texte,48
meilleure,48
##iser,48
+,48
##évi,48
dernières,48
intention,48
##fait,48
institution,48
venir,48
centrale,48
grâce,48
##me,48
opinion,48
tels,48
importantes,47
##lle,47
##fi,47
hai,47
respecte,47
capacité,47
##là,47
établir,47
b,47
positive,47
mani,47
décidé,47
rurales,47
savo,47
##mou,47
##éd,47
contexte,47
promotion,47
##vro,47
hommes,46
##sé,46
nucléaire,46
iné,46
##nti,46
##ssement,46
##ète,46
li,46
##et,46
naturelle,46
pourtant,46
personne,46
##enti,46
##ines,46
##taire,46
##era,46
##iste,46
##tive,46
référence,46
save,46
celles,46
##sant,46
pêche,46
extérieur,45
##nelle,45
##nari,45
ajoute,45
pendant,45
néanmoins,45
communes,45
##ka,45
offre,45
construction,45
carte,45
indépendant,45
précisément,45
red,45
##ficie,45
succès,45
actuel,45
##bin,45
utiliser,45
##station,44
difficultés,44
##aboration,44
progrès,44
port,44
##erg,44
1997,44
##raient,44
fraud,44
tra,44
ar,44
##sir,44
##y,44
caractère,44
##fication,44
dû,44
##roy,44
##ez,44
maritime,44
atteindre,44
##ales,44
soi,44
##flexion,43
##ël,43
##iques,43
international,43
conséquences,43
constitution,43
##mettre,43
ref,43
croissance,43
cu,43
national,43
##cro,43
intégré,43
compétences,43
##anc,43
travailler,43
##ard,43
chacun,43
##gret,43
##isme,43
capita,43
fer,43
##rodu,43
fra,43
excellent,42
culturelle,42
aspects,42
positif,42
exist,42
responsable,42
##ulé,42
##rés,42
##rion,42
vise,42
dois,42
dialogue,42
parole,42
000,42
##min,42
parle,41
##vela,41
changement,41
occupe,41
jo,41
fond,41
pleine,41
pi,41
ora,41
##elles,41
ri,41
victimes,41
vert,41
experts,41
##ntie,41
engage,41
représente,41
##up,41
##lis,41
régime,41
fournir,41
usage,41
derniers,41
st,41
##fu,41
stabil,41
##ument,41
##orter,41
semaine,41
solution,41
delà,41
bonnes,41
urbaine,41
##riques,41
sau,41
##vai,41
nature,40
##lande,40
rapports,40
pratique,40
but,40
##pr,40
biais,40
##éru,40
##rop,40
comprendre,40
##éter,40
donne,40
1998,40
comprend,40
##ifié,40
rest,40
santé,40
hier,40
##sci,40
lesquels,40
villes,40
##éa,40
##cher,40
vient,40
##ho,40
établi,40
coordination,40
op,40
scientifiques,40
##rit,40
##aire,40
##dures,40
mondiali,40
droite,39
##ev,39
favor,39
étend,39
produit,39
##uer,39
précédent,39
convention,39
cause,39
administrative,39
ministre,39
##vité,39
##ciation,39
sus,39
technique,39
prix,39
##tif,39
##de,39
ann,39
établissement,39
partir,39
rester,39
##ête,39
3,39
##oud,39
p,39
sociales,39
documents,39
sid,39
correct,38
mot,38
##rir,38
##posé,38
unan,38
four,38
7,38
propres,38
##pta,38
montant,38
malgré,38
loin,38
service,38
##lent,38
particulière,38
##an,38
##égal,38
##teur,38
pratiques,38
pl,38
uniquement,38
internationale,38
longtemps,38
réserve,38
avance,38
critique,38
##nel,38
organisation,37
ferme,37
2006,37
##ise,37
##cce,37
pos,37
navires,37
commerce,37
no,37
##table,37
constituent,37
##en,37
##rée,37
ca,37
simple,37
merci,37
clar,37
met,37
équilibre,37
##plo,37
ori,37
##nts,37
actes,37
augmentation,37
responsables,37
lib,37
x,37
permettant,37
mauvais,37
multi,37
ti,37
démocrate,37
jours,37
##dis,37
travaux,37
##fond,37
##rain,36
##demment,36
ministres,36
##pos,36
faisant,36
plupart,36
##ister,36
mondiale,36
riches,36
force,36
or,36
##il,36
passer,36
cite,36
##pl,36
personnel,36
détail,36
v,36
##aires,36
genre,36
##iar,36
minori,36
harm,36
##rgie,36
##mont,36
##usement,36
sin,35
définit,35
menace,35
##vo,35
##rence,35
##toire,35
poursuivre,35
dan,35
##lau,35
côté,35
##penses,35
##orme,35
direction,35
##ât,35
fiscal,35
##ibil,35
locaux,35
tur,35
relations,35
assume,35
précise,35
réalisation,35
tourisme,35
##sam,35
forte,35
##cure,35
rappelle,35
pouvoirs,35
dépend,35
##ger,35
##sées,35
mission,34
termine,34
##oir,34
précédente,34
entrée,34
dot,34
organisations,34
f,34
ouverture,34
élevé,34
##rent,34
socialistes,34
##res,34
contribution,34
paraît,34
programma,34
san,34
différence,34
##nc,34
échelle,34
##in,34
##ord,34
##b,34
collaboration,34
##met,34
importe,34
##v,34
jeu,34
comptes,34
candidats,34
##ier,34
montre,34
eri,34
arrive,34
réunion,34
organ,34
spécifiques,33
##rédit,33
entreprise,33
extrême,33
rele,33
4,33
ultra,33
circulation,33
temp,33
iii,33
##voy,33
jouer,33
##cision,33
hors,33
avaient,33
culturel,33
profit,33
faite,33
99,33
taux,33
modèle,33
poursuite,33
##h,33
sud,33
consiste,33
gens,33
rapide,33
utile,33
tro,33
##ff,33
élections,33
i,33
libéral,33
sal,33
pale,33
##cout,33
##para,33
modification,33
aspect,33
##ants,33
##ables,33
##ef,33
##national,33
auquel,33
##entu,33
explique,33
##ois,33
augmenter,33
ola,33
##vio,32
té,32
favorable,32
prie,32
publics,32
absence,32
##bien,32
##érable,32
déclaré,32
auto,32
6,32
##stin,32
fera,32
##tér,32
histoire,32
effets,32
réduction,32
mar,32
pla,32
##lib,32
chart,32
##mental,32
impression,32
##gir,32
route,32
souverain,32
présentée,32
##nne,32
dira,32
##uses,32
##uff,32
about,32
##front,32
coup,32
affect,32
valeur,32
ser,32
obtenir,32
##ît,32
##sin,32
##fend,32
hul,32
personnelle,32
##for,32
produits,32
plans,31
agriculture,31
instruments,31
##oq,31
conduite,31
interne,31
entraîne,31
##uve,31
désa,31
central,31
agricole,31
relative,31
##ru,31
participer,31
##ents,31
##dron,31
##crat,31
##ilité,31
13,31
lu,31
répond,31
##vite,31
ach,31
##sp,31
fortement,31
reçu,31
garde,31
conflit,31
##ché,31
##al,31
form,31
tour,31
##ifs,31
activité,31
##cret,31
heures,31
ii,31
##qua,31
sources,31
##cée,31
##tence,31
devenir,31
permis,30
déclare,30
parfois,30
##élie,30
reprises,30
##rant,30
ju,30
traitement,30
échange,30
##quels,30
régional,30
##ienne,30
mondial,30
haut,30
modifications,30
##centra,30
##udes,30
relatif,30
directement,30
gr,30
liste,30
##villon,30
cesse,30
##nelles,30
jeunes,30
lesquelles,30
##em,30
the,30
hand,30
##icap,30
##ifier,30
expérience,30
##gne,30
ide,30
auprès,30
##gent,30
##éni,30
sait,30
effectué,30
français,30
##itie,30
consulta,30
##ni,30
considère,30
demeure,30
infrastructure,30
acteurs,30
##êt,30
##ances,29
##k,29
unie,29
##abore,29
##los,29
lecture,29
##pel,29
six,29
époque,29
future,29
tam,29
##ami,29
14,29
logique,29
conséquence,29
penser,29
court,29
##éré,29
parlementaires,29
exact,29
5,29
entièrement,29
fac,29
##cle,29
##pere,29
condition,29
##iens,29
tribunal,29
globale,29
##rtes,29
##tis,29
##nent,29
##éra,29
go,29
totalement,29
yeux,29
fr,29
prévoit,29
10,29
atti,29
production,29
affaire,28
procès,28
accent,28
##nonce,28
sensible,28
##rime,28
graves,28
##tau,28
##éu,28
suivante,28
finalement,28
défendre,28
combat,28
cor,28
indique,28
décide,28
aller,28
discours,28
meilleur,28
##quée,28
##lier,28
choix,28
##éna,28
##rique,28
fonde,28
##igi,28
##mar,28
milliards,28
##age,28
##ule,28
vi,28
double,28
seuls,28
##eté,28
confirme,28
privé,28
instant,28
pot,28
pat,28
spécifique,28
##clusion,28
##él,28
bal,28
adresse,28
courage,28
##sa,27
##tant,27
##ins,27
##feste,27
faites,27
criminal,27
présentation,27
dossier,27
significa,27
##pol,27
assistance,27
attitude,27
##as,27
##su,27
travaille,27
##ctions,27
flor,27
fact,27
rende,27
échanges,27
concentration,27
##ielle,27
active,27
##end,27
calendrier,27
suivi,27
##isance,27
définition,27
##nst,27
relatives,27
##mons,27
##lons,27
##ification,27
##vres,27
##éh,27
obligation,27
strict,27
##ncu,27
##tri,27
##el,27
ven,27
attendre,27
##imit,27
##cours,27
février,27
tire,27
défense,27
crucial,27
existent,27
réduire,27
changements,27
##ture,27
##ala,27
données,26
largement,26
off,26
